"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"bac16SV4_L100_Nextseq_12719"	"day"	"day"	-0.0700187621491235	0.00295003969816165	0.020488187793826	"abundance"
"bac16SV4_L100_Nextseq_06880"	"day"	"day"	-0.0696950268538427	0.00305093637597265	0.0210731343127291	"abundance"
"bac16SV4_L100_Nextseq_06194"	"day"	"day"	-0.0991366990363429	0.00318618107002419	0.0216470757433061	"abundance"
"bac16SV4_L100_Nextseq_07130"	"day"	"day"	-0.0669147950604019	0.00320253414873279	0.0216470757433061	"abundance"
"bac16SV4_L100_Nextseq_10637"	"day"	"day"	-0.0619787370165019	0.00316465060164726	0.0216470757433061	"abundance"
"bac16SV4_L100_Nextseq_14391"	"day"	"day"	-0.0392850450475316	0.00319777296962074	0.0216470757433061	"abundance"
"bac16SV4_L100_Nextseq_06254"	"day"	"day"	-0.0895655028191614	0.00322815240636044	0.0216512053475366	"abundance"
"bac16SV4_L100_Nextseq_14457"	"day"	"day"	-0.0222199955640762	0.00323740333123767	0.0216512053475366	"abundance"
"bac16SV4_L100_Nextseq_00129"	"day"	"day"	0.120084503607975	0.00333621637331291	0.0221946183993027	"abundance"
"bac16SV4_L100_Nextseq_13500"	"day"	"day"	-0.0293046736224779	0.00336283235203062	0.0222545554605587	"abundance"
"bac16SV4_L100_Nextseq_08815"	"day"	"day"	-0.0892263003063268	0.00345341701125045	0.0227349953240654	"abundance"
"bac16SV4_L100_Nextseq_01427"	"day"	"day"	0.0438036647177028	0.00357579205265035	0.0234186588318655	"abundance"
"bac16SV4_L100_Nextseq_00289"	"day"	"day"	0.0811945842434396	0.00409273611887336	0.0266660745064738	"abundance"
"bac16SV4_L100_Nextseq_07098"	"day"	"day"	-0.0775612234283098	0.00422595285493698	0.0273928431212325	"abundance"
"bac16SV4_L100_Nextseq_02570"	"day"	"day"	-0.0526509534742751	0.00451586923555651	0.0291227485395073	"abundance"
"bac16SV4_L100_Nextseq_00012"	"read_depth"	"read_depth"	0.428862644169593	0.00468222778679734	0.0300423143274713	"abundance"
"bac16SV4_L100_Nextseq_00598"	"read_depth"	"read_depth"	-0.0884529114099104	0.00517149657685119	0.0330139983491914	"abundance"
"bac16SV4_L100_Nextseq_02690"	"day"	"day"	0.0532936971300386	0.00531040570711421	0.0337304161497103	"abundance"
"bac16SV4_L100_Nextseq_12558"	"day"	"day"	-0.0416174552107735	0.00540123654170744	0.034135814943591	"abundance"
